SENADOR,MPV 00014/2001,MPV 00726/2016,MPV 00727/2016,MPV 00729/2016,MPV 00746/2016,MPV 00759/2016,MPV 00767/2017,MPV 00777/2017,MPV 00782/2017,MPV 00785/2017,MPV 00786/2017,OFS 00070/2017,PEC 00004/2017,PEC 00010/2013,PEC 00014/2016,PEC 00029/2017,PEC 00033/2017,PEC 00036/2016,PEC 00050/2016,PEC 00055/2016,PEC 00064/2016,PEC 00077/2015,PLC 00028/2017,PLC 00038/2017,PLC 00039/2017,PLC 00054/2016,PLC 00080/2015,PLC 00129/2017,PLS 00085/2017,PLS 00086/2017,PLS 00212/2017,PLS 00247/2016,PLS 00345/2017,PLS 00405/2016,PRS 00055/2015,SCD 00007/2016,SCD 00015/2015
Acir Gurgacz - PDT/RO,Sim,Sim,Sim,?,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,?,?,Sim,Sim,Sim,?,Sim,?,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,?
Aécio Neves - PSDB/MG,Ncom,?,?,Sim,Sim,Ncom,Ncom,?,?,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,P-NRV,Sim,Sim,Sim,P-NRV,?,Sim
Airton Sandoval - PMDB/SP,Sim,?,?,?,?,Sim,P-NRV,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,?,?,Sim,Sim,Sim,Sim,Sim,?,Não,Não,Sim,Sim,Sim,Sim,Sim,?,Não,Sim,?
Aloysio Nunes Ferreira - PSDB/SP,?,Sim,Sim,Sim,Sim,?,?,?,?,?,?,?,?,?,?,?,?,Sim,Sim,Sim,?,?,?,?,?,Sim,?,?,?,?,?,?,?,Sim,?,?,Não
Alvaro Dias - PSDB/PR,Sim,Sim,P-NRV,P-NRV,P-NRV,P-NRV,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,?,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,P-NRV,P-NRV,Não,P-NRV,P-NRV,Sim,P-NRV,P-NRV,P-NRV,P-NRV,Sim
Ana Amélia - PP/RS,Sim,P-NRV,P-NRV,Sim,Sim,Sim,Sim,?,Sim,Não,?,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,?,Sim,Sim,?,Sim,Não,Sim,Sim
Ângela Portela - PT/RR,Sim,?,?,P-NRV,Não,P-NRV,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,P-NRV,Sim,Sim,P-NRV,Não,P-NRV,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim
Antonio Anastasia - PSDB/MG,Sim,Sim,Sim,?,Sim,Sim,P-NRV,?,Sim,Não,?,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,?,Sim,Sim,?,Sim,Não,?,Sim
Antonio Carlos Valadares - PSB/SE,?,Sim,Sim,Sim,P-NRV,?,?,Sim,Não,Não,?,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,P-NRV,Sim,Sim,P-NRV,Sim,?,P-NRV,P-NRV,?,P-NRV,Sim
Armando Monteiro - PTB/PE,Sim,Não,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,Não,Sim,?,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Ataídes Oliveira - PSDB/TO,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,P-NRV,Não,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Não,P-NRV,P-NRV,Sim,P-NRV,Sim,P-NRV,P-NRV,Não
Benedito de Lira - PP/AL,Sim,Sim,Sim,?,Sim,Sim,Sim,?,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Blairo Maggi - PR/MT,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Cássio Cunha Lima - PSDB/PB,Sim,?,?,?,Sim,P-NRV,Sim,?,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Sim,?,Sim,Sim,Sim,Sim,Sim,?,Sim,Não,Sim,Sim,Sim,?,Sim,?,?,?,?
Cidinho Santos - PR/MT,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim
Ciro Nogueira - PP/PI,Sim,P-NRV,P-NRV,Sim,P-NRV,Sim,Sim,?,Sim,P-NRV,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,P-NRV,P-NRV,Não,P-NRV,Sim,Sim,Sim
