MATERIA,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO,RESULTADO
DEN 00001/2016,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
MPV 00663/2014,P-NRV,P-NRV,Não,Sim,Não,P-NRV,Sim,Não,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Não,P-NRV,P-NRV,Sim,Sim,P-NRV,P-NRV,Sim,Sim,P-NRV,Sim,P-NRV,Rejeitado
MPV 00664/2014,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Aprovado
MPV 00665/2014,P-NRV,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,P-NRV,Sim,Aprovado
MPV 00672/2015,Sim,Não,P-NRV,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Não,P-NRV,Não,Sim,Rejeitado
MPV 00677/2015,Não,P-NRV,Sim,Sim,Não,Não,Sim,P-NRV,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Ncom,Sim,Sim,P-NRV,Não,Não,Rejeitado
MPV 00678/2015,Sim,Não,P-NRV,Não,Não,Sim,Sim,Não,Não,P-NRV,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Rejeitado
MPV 00688/2015,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Aprovado
MPV 00692/2015,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
MPV 00693/2015,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Aprovado
