MATERIA,DEM,PCdoB,PDT,PMDB,PP,PPS,PR,PRB,PSB,PSC,PSD,PSDB,PSOL,PT,PTB,RESULTADO
MPV 00014/2001,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
MPV 00726/2016,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Aprovado
MPV 00727/2016,Sim,Não,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Aprovado
MPV 00729/2016,Sim,Não,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Aprovado
MPV 00746/2016,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Não,Sim,Sim,Aprovado
MPV 00759/2016,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Aprovado
MPV 00767/2017,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,P-NRV,Aprovado
MPV 00777/2017,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Aprovado
MPV 00782/2017,Sim,Não,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Aprovado
MPV 00785/2017,Não,?,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,P-NRV,P-NRV,Sim,Sim,Não,Rejeitado
MPV 00786/2017,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Não,Sim,Sim,Aprovado
OFS 00070/2017,Sim,?,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Rejeitado
PEC 00004/2017,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PEC 00010/2013,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PEC 00014/2016,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PEC 00029/2017,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PEC 00033/2017,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PEC 00036/2016,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PEC 00050/2016,Sim,Sim,Sim,Sim,Sim,?,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Aprovado
PEC 00055/2016,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Aprovado
PEC 00064/2016,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PEC 00077/2015,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PLC 00028/2017,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PLC 00038/2017,P-NRV,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Rejeitado
PLC 00039/2017,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PLC 00054/2016,Sim,P-NRV,Sim,Sim,Sim,P-NRV,Sim,?,Sim,Sim,Sim,Sim,Não,Sim,Sim,Aprovado
PLC 00080/2015,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,P-NRV,P-NRV,Aprovado
PLC 00129/2017,P-NRV,Sim,Sim,Sim,Não,Sim,P-NRV,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Não,Rejeitado
PLS 00085/2017,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Aprovado
PLS 00086/2017,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PLS 00212/2017,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Não,Aprovado
PLS 00247/2016,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PLS 00345/2017,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PLS 00405/2016,Sim,Não,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
