PARTIDO,MPV 00014/2001,MPV 00726/2016,MPV 00727/2016,MPV 00729/2016,MPV 00746/2016,MPV 00759/2016,MPV 00767/2017,MPV 00777/2017,MPV 00782/2017,MPV 00785/2017,MPV 00786/2017,OFS 00070/2017,PEC 00004/2017,PEC 00010/2013,PEC 00014/2016,PEC 00029/2017,PEC 00033/2017,PEC 00036/2016,PEC 00050/2016,PEC 00055/2016,PEC 00064/2016,PEC 00077/2015,PLC 00028/2017,PLC 00038/2017,PLC 00039/2017,PLC 00054/2016,PLC 00080/2015,PLC 00129/2017,PLS 00085/2017,PLS 00086/2017,PLS 00212/2017,PLS 00247/2016,PLS 00345/2017,PLS 00405/2016,PRS 00055/2015,SCD 00007/2016,SCD 00015/2015
DEM,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
PCdoB,Sim,Não,Não,Não,Não,Não,Não,Não,Não,MIS,Não,MIS,Sim,Sim,Sim,P-NRV,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,MIS,Sim
PDT,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
PMDB,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
PP,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
PPS,Sim,Sim,Sim,AP,Sim,Sim,Sim,Sim,Abstenção,Não,Sim,Sim,Sim,Sim,AP,Sim,Sim,Sim,MIS,Sim,P-NRV,P-NRV,AP,Não,Sim,P-NRV,Não,Sim,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim
PR,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
PRB,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Não,AP,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,AP,AP,Sim,Não,Sim,AP,Não,Sim,AP,P-NRV,Não,P-NRV,AP
PSB,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
PSC,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
PSD,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Votou,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
PSDB,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim
PSOL,Sim,P-NRV,P-NRV,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
PT,Sim,P-NRV,P-NRV,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
PTB,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
