UF,MPV 00014/2001,MPV 00726/2016,MPV 00727/2016,MPV 00729/2016,MPV 00746/2016,MPV 00759/2016,MPV 00767/2017,MPV 00777/2017,MPV 00782/2017,MPV 00785/2017,MPV 00786/2017,OFS 00070/2017,PEC 00004/2017,PEC 00010/2013,PEC 00014/2016,PEC 00029/2017,PEC 00033/2017,PEC 00036/2016,PEC 00050/2016,PEC 00055/2016,PEC 00064/2016,PEC 00077/2015,PLC 00028/2017,PLC 00038/2017,PLC 00039/2017,PLC 00054/2016,PLC 00080/2015,PLC 00129/2017,PLS 00085/2017,PLS 00086/2017,PLS 00212/2017,PLS 00247/2016,PLS 00345/2017,PLS 00405/2016,PRS 00055/2015,SCD 00007/2016,SCD 00015/2015
AC,Sim,P-NRV,P-NRV,AP,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,MIS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Votou,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,P-NRV,Sim
AL,Sim,Sim,Sim,AP,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim
AM,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
AP,Sim,Sim,Sim,Ncom,Sim,Sim,Sim,Ncom,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
BA,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
CE,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Não,Sim,Ncom,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
DF,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim
ES,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
GO,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim
MA,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim
MG,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,AP,Sim,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Não,Sim,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim
MS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim
